coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto
,PIER LUIGI SACCANI,,Scuola dell'infanzia,,,"Via Adamello,
    
2 -
    
38122    
TRENTO",0461-911027,0461-394133,s.antonio.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Trento ""S. Antonio""
            
"
,,,Scuola dell'infanzia,,FRANCESCA PAROLARI,"Piazza di S Anna,
    
3 -
    
38057    
PERGINE VALSUGANA",+39 0461 502351,,info@asifchimelli.it,,,,,1,"

                
Scuola dell'infanzia di Roncogno di Pergine
            
"
PAOLA SANGIORGI,,,Scuola dell'infanzia,,,"Piazza Municipio,
    
2 -
    
38050    
CASTELNUOVO",0461-753637,,castelnuovo.presidente@fpsm.tn.it,,castelnuovo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Castelnuovo
            
"
,MARCO MANICA,,Scuola dell'infanzia,,,"Via Alla Stazione,
    
2 -
    
38068    
ROVERETO",0464-943313,0464-943313,marco.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Marco Rovereto   ""G.e A. Rosmini Serbati""
            
"
,ANNA DALDOSS,,Scuola dell'infanzia,,,"Via al Castel Romano - Ranzo - Vezzano,
    
29 -
    
38070    
VALLELAGHI",0461-844137,,ranzo.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Ranzo
            
"
,MARCO SALVATERRA,,Scuola dell'infanzia,,,"Piazza Battisti,
    
4 -
    
38079    
TIONE DI TRENTO",+39 0465 321314,+39 0465 329714,tione.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Tione di Trento ""Don Giovanni Failoni""
            
"
,ANTONIO GIRARDI,,Scuola dell'infanzia,,,"Via Francesco Ferruccio,
    
4 -
    
38122    
TRENTO",0461-237392,0461-237392,tambosi.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Trento  ""A. Tambosi""
            
"
SARA DE ZOLT,,,Scuola dell'infanzia,,,"Via Gabrielli,
    
1 -
    
38037    
PREDAZZO",0462-501312,,predazzo.presidente@fpsm.tn.it,,predazzo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Predazzo
            
"
,TULLIO MUSSI,,Scuola dell'infanzia,,,"Via Lucchi - Roncone,
    
1 -
    
38087    
SELLA GIUDICARIE",0465-901285,0465-901285,roncone.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Roncone  ""Mario Amistadi Sciavina""
            
"
ALESSANDRA BIANCHI,PIERLUIGI PIFFER,,Scuola dell'infanzia,,,"Via Gar,
    
1 -
    
38122    
TRENTO",0461-233744,0461-233744,segreteria@gbzanella.it,,,,,1,"

                
Scuola dell'infanzia di Trento ""G. B. Zanella ODV""
            
"
TIZIANA CEOL,ALESSANDRO LARENTIS,,Scuola dell'infanzia,,,"Via Regolani,
    
4 -
    
38033    
CAVALESE",0462-341673,,cavalese.segretario@fpsm.tn.it,,cavalese.presidente@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Cavalese
            
"
DORIS LOSA,LUANA CLINAZ,,Scuola dell'infanzia,,,"Via Re di Castello - Daone,
    
57 -
    
38080    
VALDAONE",0465-674060,,daone.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Daone
            
"
,DIEGO MARIA BONAZZA,,Scuola dell'infanzia,,,"Via Marconi - Breguzzo,
    
5 -
    
38087    
SELLA GIUDICARIE",0465-901550,,breguzzo.bondo.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Breguzzo - Bondo  ""Giuseppina Bonazza""
            
"
,STEFANO ZENDRI,,Scuola dell'infanzia,,,"Via Brigata Mantova,
    
1 -
    
38068    
ROVERETO",0464-433395,,lizzana.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Lizzana
            
"
TIZIANA CEOL,ALESSANDRO LARENTIS,,Scuola dell'infanzia,,,"Via Damiano Chiesa,
    
79 -
    
38033    
CAVALESE",0462-340557,,cavalese.segretario@fpsm.tn.it,,cavalese.presidente@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Masi di Cavalese
            
"
SARA DE ZOLT,,,Scuola dell'infanzia,,,"Piazza Italia,
    
8 -
    
38030    
ZIANO DI FIEMME",3703621992,,ziano.presidente@fpsm.tn.it,,ziano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ziano di Fiemme
            
"
,,,Istituzione scolastica e formativa,MANUEL PENASA,CLAUDIA BISOGNIN,"Via Mach,
    
1 -
    
38098    
SAN MICHELE ALL'ADIGE",+39 0461 615213,+39 0461 615273,amministrazione.cif@pec.iasma.it,,segreteria.scuola@fmach.it,http://www.fmach.it,,2,"

                
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE
            
"
UTE PANCHER,,,Scuola dell'infanzia,,,"Via Ossanna,
    
3 -
    
38010    
DENNO",0461-655960,,denno.segretario@fpsm.tn.it,,denno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Denno
            
"
,,,Istituzione scolastica e formativa,,LUCA BRANZ,"Via Di S Antonio,
    
1 -
    
38026    
OSSANA",+39 0463 751102,+39 0463 751987,cfp.ossana@pec.it,,cfp.ossana@enaip.tn.it,http://www.enaiptrentino.it,,1,"

                
Centro Formazione Professionale ENAIP - Ossana
            
"
,,,Istituzione scolastica e formativa,,FRANCESCO MICHELETTI,"Via Giamaolle,
    
15 -
    
38051    
BORGO VALSUGANA",+39 0461 753037,+39 0461 752070,cfp.borgo@pec.it,,cfp.borgo@enaip.tn.it,http://www.enaiptrentino.it,,1,"

                
Centro Formazione Professionale ENAIP - Borgo Valsugana
            
"
TIZIANA CEOL,,,Scuola dell'infanzia,,,"Via Fia,
    
20 -
    
38038    
TESERO",0462-813045,,tesero.presidente@fpsm.tn.it,,tesero.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Tesero
            
"
ROBERTA MEDEGHINI,,,Scuola dell'infanzia,,,"Via Monsignor Gosetti,
    
3 -
    
38060    
VILLA LAGARINA",0464-411101,,villalagarina.presidente@fpsm.tn.it,,villalagarina.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Villa Lagarina
            
"
